similarity,confidence,correct,total,precision,badFails,passKnownBad
0.3,0.6,12,12,1.0000,0,true
0.3,0.7,12,12,1.0000,0,true
0.3,0.8,12,12,1.0000,0,true
0.4,0.6,12,12,1.0000,0,true
0.4,0.7,12,12,1.0000,0,true
0.4,0.8,12,12,1.0000,0,true
0.5,0.6,12,12,1.0000,0,true
0.5,0.7,12,12,1.0000,0,true
0.5,0.8,12,12,1.0000,0,true
0.6,0.6,12,12,1.0000,0,true
0.6,0.7,12,12,1.0000,0,true
0.6,0.8,12,12,1.0000,0,true
0.7,0.6,12,12,1.0000,0,true
0.7,0.7,12,12,1.0000,0,true
0.7,0.8,12,12,1.0000,0,true
0.75,0.6,12,12,1.0000,0,true
0.75,0.7,12,12,1.0000,0,true
0.75,0.8,12,12,1.0000,0,true
0.8,0.6,12,12,1.0000,0,true
0.8,0.7,12,12,1.0000,0,true
0.8,0.8,12,12,1.0000,0,true
0.85,0.6,11,12,0.9167,0,true
0.85,0.7,11,12,0.9167,0,true
0.85,0.8,11,12,0.9167,0,true
0.9,0.6,2,12,0.1667,0,true
0.9,0.7,2,12,0.1667,0,true
0.9,0.8,2,12,0.1667,0,true
